address|clean_address|lat|lng|loc_type|num_results
A'beckett St, Watson ACT|Abeckett Street, Watson ACT 2602, Australia|-35.238471|149.147991|GEOMETRIC_CENTER|1
Aaron Pl, Macgregor ACT|Aaron Place, Macgregor ACT 2615, Australia|-35.211777|149.020051|GEOMETRIC_CENTER|1
Aaron St, Fyshwick ACT|Fyshwick ACT 2609, Australia|-35.327663|149.176350|APPROXIMATE|1
Abbie St, Macgregor ACT|Abbie Street, North West Rural Canberra ACT 2615, Australia|-35.212870|149.002243|GEOMETRIC_CENTER|1
Abbot Cl, Palmerston ACT|Abbot Close, Palmerston ACT 2913, Australia|-35.193732|149.118920|GEOMETRIC_CENTER|1
Abbott Cl, Palmerston ACT|Abbot Close, Palmerston ACT 2913, Australia|-35.193732|149.118920|GEOMETRIC_CENTER|1
Abbott St, Yarralumla ACT|Abbott Street, Yarralumla ACT 2600, Australia|-35.311315|149.096662|GEOMETRIC_CENTER|1
Abdullah St, Bonner ACT|Abdullah Street, Bonner ACT 2914, Australia|-35.159702|149.139918|GEOMETRIC_CENTER|1
Abeckett St, Watson ACT|Abeckett Street, Watson ACT 2602, Australia|-35.238471|149.147991|GEOMETRIC_CENTER|1
Abena Ave, Crace ACT|Abena Avenue, Crace ACT 2911, Australia|-35.200926|149.104875|GEOMETRIC_CENTER|1
Abercorn Cres, Isabella Plains ACT|Abercorn Crescent, Isabella Plains ACT 2905, Australia|-35.426339|149.101726|GEOMETRIC_CENTER|1
Abercrombie Cct, Banks ACT|Abercrombie Circuit, Banks ACT 2906, Australia|-35.465676|149.092835|GEOMETRIC_CENTER|1
Aberfoyle St, Amaroo ACT|Amaroo ACT 2914, Australia|-35.173013|149.122768|APPROXIMATE|1
Abernethy St, Weetangera ACT|Abernethy Street, Weetangera ACT 2614, Australia|-35.251765|149.053180|GEOMETRIC_CENTER|1
Abrahams Cres, Conder ACT|Abrahams Crescent, Conder ACT 2906, Australia|-35.463927|149.101740|GEOMETRIC_CENTER|1
Absolon Pl, Mckellar ACT|Absolon Place, McKellar ACT 2617, Australia|-35.218859|149.073634|GEOMETRIC_CENTER|1
Acacia Dr, Jerrabomberra ACT|Acacia Drive, Jerrabomberra NSW 2619, Australia|-35.387572|149.205046|GEOMETRIC_CENTER|1
Acacia Pl, Nicholls ACT|Acacia Place, Nicholls ACT 2913, Australia|-35.196234|149.105904|GEOMETRIC_CENTER|1
Academy Cl, Campbell ACT|Academy Close, Campbell ACT 2612, Australia|-35.287585|149.162804|GEOMETRIC_CENTER|1
Achernar Cl, Giralang ACT|Achernar Close, Giralang ACT 2617, Australia|-35.211399|149.091147|GEOMETRIC_CENTER|1
Ackland Pl, Richardson ACT|Ackland Place, Richardson ACT 2905, Australia|-35.420461|149.112617|GEOMETRIC_CENTER|1
Acraman Pl, Amaroo ACT|Acraman Place, Amaroo ACT 2914, Australia|-35.176013|149.125180|GEOMETRIC_CENTER|1
Ada Baker St, Forde ACT|Ada Baker Street, Forde ACT 2914, Australia|-35.171097|149.139771|GEOMETRIC_CENTER|1
Ada Evans St, Watson ACT|Ada Evans Street, Watson ACT 2602, Australia|-35.232765|149.159299|GEOMETRIC_CENTER|1
Ada Pl, Lyons ACT|Ada Place, Lyons ACT 2606, Australia|-35.344525|149.076329|GEOMETRIC_CENTER|1
Adair St, Scullin ACT|Adair Street, Scullin ACT 2614, Australia|-35.236088|149.039115|GEOMETRIC_CENTER|1
Adam Pl, Farrer ACT|Adam Place, Farrer ACT 2607, Australia|-35.372099|149.104411|GEOMETRIC_CENTER|1
Adams Pl, Watson ACT|Adams Place, Watson ACT 2602, Australia|-35.235651|149.146245|GEOMETRIC_CENTER|1
Adams St, Letchworth ACT|None|0.000000|0.000000|ERROR|0
Adamson Cres, Wanniassa ACT|Adamson Crescent, Wanniassa ACT 2903, Australia|-35.392845|149.098083|GEOMETRIC_CENTER|1
Adcock Pl, Banks ACT|Adcock Place, Banks ACT 2906, Australia|-35.469572|149.103668|GEOMETRIC_CENTER|1
Adder St, Harrison ACT|Adder Street, Harrison ACT 2914, Australia|-35.202087|149.160536|GEOMETRIC_CENTER|1
Addison Rd, Campbell ACT|Addison Road, Canberra ACT 2609, Australia|-35.290897|149.173696|GEOMETRIC_CENTER|1
Adelaide Ave, Deakin ACT|Adelaide Avenue, Deakin ACT 2600, Australia|-35.312028|149.108620|GEOMETRIC_CENTER|1
Adelaide Ave, Yarralumla ACT|Adelaide Avenue, Yarralumla ACT 2600, Australia|-35.312260|149.106601|GEOMETRIC_CENTER|1
Adey Pl, Isaacs ACT|Adey Place, Isaacs ACT 2607, Australia|-35.364337|149.108828|GEOMETRIC_CENTER|1
Adina Ct, Jerrabomberra ACT|Adina Court, Jerrabomberra NSW 2619, Australia|-35.381865|149.217251|GEOMETRIC_CENTER|1
Adinda St, Waramanga ACT|Adinda Street, Weston Creek ACT 2611, Australia|-35.349071|149.058677|GEOMETRIC_CENTER|1
Adkinson Cl, Isaacs ACT|Adkinson Close, Isaacs ACT 2607, Australia|-35.363045|149.109791|GEOMETRIC_CENTER|1
Adlard Pl, Gungahlin ACT|Adlard Place, Gungahlin ACT 2912, Australia|-35.182801|149.145842|GEOMETRIC_CENTER|1
Adventure St, Harrison ACT|Adventure Street, Harrison ACT 2914, Australia|-35.208495|149.155019|GEOMETRIC_CENTER|1
Aerodrome Rd, Campbell ACT|Aerodrome Road, Campbell ACT 2612, Australia|-35.301986|149.166398|GEOMETRIC_CENTER|1
Affleck Pl, Scullin ACT|Affleck Place, Scullin ACT 2614, Australia|-35.236228|149.037325|GEOMETRIC_CENTER|1
Agar St, Bruce ACT|Agar Street, Bruce ACT 2617, Australia|-35.242433|149.106775|GEOMETRIC_CENTER|1
Agena Pl, Giralang ACT|Agena Place, Giralang ACT 2617, Australia|-35.217430|149.088598|GEOMETRIC_CENTER|1
Aggie Pl, Palmerston ACT|Aggie Place, Palmerston ACT 2913, Australia|-35.189729|149.114456|GEOMETRIC_CENTER|1
Agnes Ave, Letchworth ACT|None|0.000000|0.000000|ERROR|0
Agnew St, Ainslie ACT|Agnew Street, Ainslie ACT 2602, Australia|-35.254082|149.155908|GEOMETRIC_CENTER|1
Agonis Cl, Rivett ACT|Agonis Close, Weston Creek ACT 2611, Australia|-35.346030|149.036166|GEOMETRIC_CENTER|1
Ah Mouy Pl, Kambah ACT|Ah Mouy Place, Kambah ACT 2902, Australia|-35.387506|149.048152|GEOMETRIC_CENTER|1
Ahern Pl, Monash ACT|Ahern Place, Monash ACT 2904, Australia|-35.412941|149.085654|GEOMETRIC_CENTER|1
Ahmatt St, Ngunnawal ACT|Ahmatt Street, Ngunnawal ACT 2913, Australia|-35.165607|149.108850|GEOMETRIC_CENTER|1
Aida Ball Cct, Forde ACT|Aida Ball Circuit, Forde ACT 2914, Australia|-35.173088|149.150189|GEOMETRIC_CENTER|1
Aikman Dr, Belconnen ACT|Aikman Drive, Belconnen ACT 2617, Australia|-35.236234|149.077459|GEOMETRIC_CENTER|1
Aikman Dr, Bruce ACT|Aikman Drive, Bruce ACT 2617, Australia|-35.236616|149.077311|GEOMETRIC_CENTER|1
Ainslie Ave, Braddon ACT|Ainslie Avenue, Braddon ACT 2612, Australia|-35.277409|149.140083|GEOMETRIC_CENTER|1
Ainslie Ave, City ACT|Ainslie Avenue, Canberra ACT 2601, Australia|-35.280479|149.132138|GEOMETRIC_CENTER|1
Ainslie Ave, Reid ACT|Ainslie Avenue, Reid ACT 2612, Australia|-35.278016|149.139498|GEOMETRIC_CENTER|1
Ainslie Pl, City ACT|Ainslie Place, Canberra ACT 2601, Australia|-35.280796|149.131827|GEOMETRIC_CENTER|1
Ainsworth St, Mawson ACT|Ainsworth Street, Mawson ACT 2607, Australia|-35.357622|149.097242|GEOMETRIC_CENTER|1
Ainsworth St, Phillip ACT|Ainsworth Street, Phillip ACT 2606, Australia|-35.348718|149.094371|GEOMETRIC_CENTER|1
